date,poids
2025-11-18,75.90
2025-11-19,75.00
2025-11-20,74.50
2025-11-21,74.70
2025-11-22,75.20
2025-11-23,74.50
2025-11-24,74.90
2025-11-25,75.00
2025-11-26,75.20
2025-11-27,74.90
2025-11-28,74.60
2025-11-29,74.60
2025-11-30,73.70
2025-12-01,74.30
2025-12-02,74.10
2025-12-03,73.80
2025-12-04,74.40
2025-12-05,74.40
2025-12-07,73.90
2025-12-08,73.40
2025-12-09,74.60
2025-12-10,74.00
2025-12-11,73.20
2025-12-12,73.60
2025-12-13,74.20
2025-12-14,74.30
2025-12-15,72.80
2025-12-16,72.90
2025-12-17,73.00
2025-12-18,73.30
2025-12-19,73.70
2025-12-20,73.70
2025-12-21,73.60
2025-12-22,73.70
2025-12-23,74.90
2025-12-24,73.50
2025-12-25,73.80
2025-12-26,72.70
2025-12-27,73.10
2025-12-28,73.20
2025-12-29,72.50
2025-12-30,73.00
2025-12-31,73.20
2026-01-01,72.90
2026-01-02,72.80
2026-01-03,72.80
2026-01-04,72.50
2026-01-05,71.30
2026-01-06,71.80
2026-01-07,71.20
2026-01-08,72.00
2026-01-09,72.60
2026-01-10,72.00
2026-01-11,71.70
2026-01-12,71.30
2026-01-13,70.90
2026-01-14,70.70
2026-01-15,70.90
2026-01-16,70.50
2026-01-17,70.50
2026-01-18,70.50
2026-01-19,70.10
2026-01-20,70.50
2026-01-21,70.50
2026-01-22,70.30
2026-01-23,70.20
2026-01-24,69.90
2026-01-25,69.80
2026-01-26,69.60
2026-01-27,70.90
2026-01-28,70.60
2026-01-29,70.20
2026-01-30,71.10
2026-01-31,71.30
2026-02-01,71.10
2026-02-02,70.80
2026-02-03,71.00
2026-02-04,70.90
2026-02-05,71.00
2026-02-06,71.20
2026-02-07,71.10
2026-02-09,70.90
2026-02-10,71.40
2026-02-11,71.90
2026-02-12,71.30
2026-02-13,71.40
2026-02-14,72.00
2026-02-15,71.50
